City Number,City,Cloudiness,Country,Date,Humidity,Lat,Long,Temp F,Wind Speed
0,hobyo,1,SO,1594670787,78,5.35,48.53,77.79,26.84
1,tocopilla,6,CL,1594670787,38,-22.09,-70.2,67.12,5.21
2,yozgat,0,TR,1594670787,74,39.58,35.33,60.01,7.9
3,vaini,40,TO,1594670787,77,-21.2,-175.2,69.8,6.93
4,nampula,75,MZ,1594670788,82,-15.12,39.27,68.0,11.41
5,komsomolskiy,90,UZ,1594670788,34,40.43,71.72,80.6,9.17
6,ushuaia,40,AR,1594670788,80,-54.8,-68.3,33.8,23.04
7,rikitea,26,PF,1594670788,85,-23.12,-134.97,72.66,15.68
8,skjervoy,40,NO,1594670788,76,70.03,20.97,57.2,4.7
9,moa,4,CU,1594670788,70,20.66,-74.94,86.5,8.03
10,punta arenas,90,CL,1594670522,83,-53.15,-70.92,33.8,9.17
11,naze,20,JP,1594670788,94,28.37,129.48,80.6,6.93
12,port hedland,72,AU,1594670788,50,-20.32,118.57,57.2,8.05
13,sosua,20,DO,1594670789,66,19.77,-70.52,91.4,17.22
14,kaputa,0,ZM,1594670789,49,-8.47,29.66,69.87,2.06
15,qaanaaq,0,GL,1594670789,66,77.48,-69.36,44.98,10.51
16,fortuna,75,US,1594670789,82,40.6,-124.16,63.0,14.99
17,namatanai,100,PG,1594670789,82,-3.67,152.43,78.37,4.97
18,chervona sloboda,88,UA,1594670789,79,49.38,32.15,59.05,17.45
19,nemuro,83,JP,1594670789,91,43.32,145.57,55.83,5.93
20,hovd,100,MN,1594670789,66,48.01,91.64,57.25,2.93
21,jamestown,75,US,1594670670,56,42.1,-79.24,73.99,11.41
22,berlevag,75,NO,1594670790,87,70.86,29.09,46.4,4.7
23,hithadhoo,50,MV,1594670790,74,-0.6,73.08,84.85,9.6
24,provideniya,96,RU,1594670541,71,64.38,-173.3,51.8,2.24
25,chapais,1,CA,1594670790,40,49.78,-74.85,73.4,10.29
26,nikolskoye,20,RU,1594670790,76,59.7,30.79,57.99,6.71
27,upington,18,ZA,1594670790,54,-28.45,21.26,53.6,11.41
28,comodoro rivadavia,40,AR,1594670627,45,-45.87,-67.5,42.8,13.87
29,gat,0,IL,1594670791,68,31.61,34.76,80.01,1.19
30,suzhou,100,CN,1594670508,95,31.31,120.62,73.0,5.59
31,narasannapeta,100,IN,1594670791,84,18.42,84.05,82.18,6.55
32,caetite,81,BR,1594670791,41,-14.07,-42.48,76.39,6.33
33,yellowknife,90,CA,1594670507,93,62.46,-114.35,60.8,16.11
34,busselton,90,AU,1594670791,75,-33.65,115.33,54.0,21.83
35,cabo san lucas,20,MX,1594670560,48,22.89,-109.91,93.2,9.17
36,hasaki,75,JP,1594670791,100,35.73,140.83,68.0,2.24
37,salalah,90,OM,1594670791,94,17.02,54.09,82.4,8.05
38,saint-georges,40,GD,1594670744,74,12.06,-61.75,87.8,20.8
39,mehamn,90,NO,1594670792,81,71.04,27.85,46.4,5.82
40,tasiilaq,75,GL,1594670792,66,65.61,-37.64,48.2,9.17
41,aykhal,75,RU,1594670792,51,66.0,111.5,60.8,2.24
42,bengkulu,92,ID,1594670792,90,-3.8,102.27,75.02,3.87
43,brigantine,40,US,1594670732,45,39.41,-74.36,87.8,8.05
44,cherskiy,9,RU,1594670792,64,68.75,161.3,59.13,4.23
45,carutapera,81,BR,1594670792,90,-1.2,-46.02,79.68,5.61
46,mataura,100,NZ,1594670792,83,-46.19,168.86,39.0,3.0
47,albany,4,US,1594670792,37,42.6,-73.97,90.0,8.99
48,saint-joseph,19,RE,1594670793,72,-21.37,55.62,68.0,5.82
49,luanda,40,AO,1594670506,83,-8.84,13.23,71.6,6.93
50,bougouni,100,ML,1594670793,79,11.42,-7.48,76.1,2.57
51,iskateley,53,RU,1594670793,88,67.68,53.15,45.09,6.38
52,robertsport,100,LR,1594670793,86,6.75,-11.37,76.96,15.43
53,mirpur mathelo,53,PK,1594670793,43,28.02,69.55,93.87,10.65
54,keffi,20,NG,1594670793,88,8.85,7.87,75.2,3.36
55,sao raimundo das mangabeiras,98,BR,1594670794,32,-7.02,-45.48,90.7,1.43
56,alofi,75,NU,1594670794,68,-19.06,-169.92,71.6,19.46
57,talnakh,40,RU,1594670794,93,69.49,88.4,53.6,6.71
58,asfi,0,MA,1594670794,85,32.3,-9.24,72.21,13.82
59,laguna,1,US,1594670794,39,38.42,-121.42,90.0,9.17
60,narino,40,CO,1594670794,46,5.61,-75.18,73.4,8.05
61,port-gentil,90,GA,1594670794,88,-0.72,8.78,77.0,16.22
62,butaritari,58,KI,1594670794,72,3.07,172.79,82.81,3.96
63,kapaa,90,US,1594670690,78,22.08,-159.32,78.8,12.75
64,ponta delgada,75,PT,1594670684,64,37.73,-25.67,71.6,11.41
65,porto walter,79,BR,1594670795,74,-8.27,-72.74,82.36,3.4
66,hilo,20,US,1594670647,65,19.73,-155.09,80.6,4.7
67,cape town,75,ZA,1594670502,54,-33.93,18.42,54.0,5.82
68,hobart,90,AU,1594670734,81,-42.88,147.33,42.8,10.29
69,georgetown,20,MY,1594670795,94,5.41,100.34,78.8,4.83
70,amapa,87,BR,1594670795,91,1.0,-52.0,80.56,2.71
71,avarua,82,CK,1594670795,64,-21.21,-159.78,69.8,11.41
72,victoria,0,HK,1594670527,83,22.29,114.16,84.99,11.01
73,beyneu,25,KZ,1594670796,20,45.32,55.2,89.69,11.9
74,saint george,1,US,1594670783,12,37.1,-113.58,108.0,9.17
75,bardiyah,0,LY,1594670796,74,31.76,25.09,74.8,11.7
76,bethel,20,US,1594670796,48,41.37,-73.41,87.01,10.29
77,ponta do sol,1,PT,1594670796,72,32.67,-17.1,69.01,3.56
78,carnarvon,40,AU,1594670796,82,-24.87,113.63,62.6,4.7
79,bonnyville,90,CA,1594670796,93,54.27,-110.73,55.4,11.41
80,sao filipe,56,CV,1594670797,83,14.9,-24.5,78.31,5.73
81,kruisfontein,0,ZA,1594670797,51,-34.0,24.73,49.28,13.96
82,kaitangata,35,NZ,1594670797,82,-46.28,169.85,42.01,7.0
83,tiksi,100,RU,1594670690,85,71.69,128.87,51.4,13.04
84,san andres,40,CO,1594670644,74,12.58,-81.7,87.8,9.17
85,dengzhou,83,CN,1594670797,83,37.81,120.75,67.14,4.29
86,boyuibe,100,BO,1594670797,66,-20.42,-63.28,67.28,6.29
87,osa,0,RU,1594670797,80,57.28,55.46,66.36,4.23
88,bluff,96,NZ,1594670797,83,-46.6,168.33,39.0,3.0
89,mayo,1,US,1594670798,61,38.89,-76.51,88.0,9.17
90,port alfred,0,ZA,1594670798,43,-33.59,26.89,57.97,27.27
91,ilam,0,NP,1594670798,89,26.92,87.92,67.28,2.71
92,nanortalik,100,GL,1594670798,91,60.14,-45.24,45.03,0.72
93,tuktoyaktuk,75,CA,1594670798,67,69.45,-133.04,59.0,6.93
94,khatanga,0,RU,1594670798,62,71.97,102.5,58.73,9.78
95,saldanha,99,ZA,1594670798,76,-33.01,17.94,51.8,4.7
96,sao joao da barra,0,BR,1594670798,38,-21.64,-41.05,87.8,3.36
97,isangel,92,VU,1594670799,79,-19.55,169.27,72.46,7.05
98,xiaoshi,100,CN,1594670799,100,41.3,124.12,69.8,4.47
99,katy,0,US,1594670799,54,29.79,-95.82,100.99,1.01
100,ostrovnoy,4,RU,1594670799,87,68.05,39.51,44.71,3.22
101,iqaluit,20,CA,1594670799,37,63.75,-68.51,66.2,17.22
102,huanren,100,CN,1594670799,92,41.26,125.37,65.16,1.52
103,kaeo,96,NZ,1594670799,3,-35.1,173.78,50.0,1.21
104,atuona,34,PF,1594670799,77,-9.8,-139.03,79.5,19.44
105,casa grande,1,US,1594670800,22,32.88,-111.76,105.01,4.7
106,klyuchi,99,RU,1594670800,89,52.27,79.17,60.55,7.29
107,thompson,90,CA,1594670637,93,55.74,-97.86,66.2,4.7
108,lasa,40,IT,1594670800,63,46.62,10.7,62.6,3.36
109,sao gabriel da cachoeira,53,BR,1594670800,84,-0.13,-67.09,83.37,1.07
110,pacific grove,90,US,1594670684,68,36.62,-121.92,69.01,10.29
111,sitka,90,US,1594670675,76,57.05,-135.33,55.4,3.36
112,college,90,US,1594670801,93,64.86,-147.8,54.0,4.7
113,esperance,0,AU,1594670801,34,-33.87,121.9,53.6,19.46
114,rurrenabaque,42,BO,1594670801,64,-14.44,-67.53,86.18,2.46
115,east london,0,ZA,1594670796,39,-33.02,27.91,61.43,25.7
116,puerto ayora,59,EC,1594670693,90,-0.74,-90.35,70.0,1.99
117,myitkyina,100,MM,1594670801,97,25.38,97.4,74.75,1.97
118,ribeira grande,40,PT,1594670294,78,38.52,-28.7,71.6,17.22
119,lafiagi,100,NG,1594670801,89,8.87,5.42,75.7,5.5
120,longyearbyen,75,SJ,1594670802,76,78.22,15.64,48.2,5.82
121,ust-kut,0,RU,1594670802,84,56.79,105.77,60.91,1.3
122,nancha,0,CN,1594670802,89,47.13,129.27,62.58,1.34
123,champerico,20,GT,1594670802,52,14.3,-91.92,91.4,6.93
124,chuy,0,UY,1594670802,57,-33.7,-53.46,46.78,10.85
125,mar del plata,40,AR,1594670731,70,-38.0,-57.56,46.0,10.29
126,nicoya,75,CR,1594670802,58,10.15,-85.45,87.8,8.05
127,riyadh,16,SA,1594670802,13,24.69,46.72,100.4,10.29
128,vostok,32,RU,1594670803,100,46.49,135.88,55.9,2.33
129,kodinsk,11,RU,1594670803,73,58.69,99.18,57.65,0.92
130,harper,100,LR,1594670803,82,4.38,-7.72,75.87,11.36
131,waterloo,75,CA,1594670803,57,43.47,-80.52,78.01,11.41
132,hongjiang,43,CN,1594670803,87,27.11,110.0,75.63,2.39
133,yar-sale,99,RU,1594670803,66,66.83,70.83,51.51,12.24
134,turukhansk,96,RU,1594670803,91,65.82,87.98,54.68,13.06
135,narsaq,75,GL,1594670788,67,60.92,-46.05,59.0,6.93
136,qarchi gak,5,AF,1594670803,22,37.04,66.79,87.8,5.82
137,boende,100,CD,1594670804,88,-0.22,20.87,73.15,2.37
138,kovdor,98,RU,1594670804,83,67.57,30.48,50.49,6.38
139,chornukhy,100,UA,1594670804,81,50.27,32.94,56.86,15.86
140,faanui,100,PF,1594670804,81,-16.48,-151.75,78.82,16.08
141,poplar bluff,1,US,1594670804,40,36.76,-90.39,90.0,8.05
142,pevek,79,RU,1594670797,68,69.7,170.31,42.91,2.1
143,tarko-sale,74,RU,1594670804,88,64.92,77.78,52.0,20.18
144,kavaratti,100,IN,1594670804,75,10.57,72.64,82.98,11.12
145,flinders,100,AU,1594670805,89,-34.58,150.86,55.99,7.0
146,baraolt,35,RO,1594670805,76,46.08,25.6,57.0,0.4
147,zvishavane,0,ZW,1594670805,50,-20.33,30.07,53.73,1.5
148,lavrentiya,86,RU,1594670805,77,65.58,-171.0,44.62,6.51
149,sechura,17,PE,1594670805,58,-5.56,-80.82,73.96,13.0
150,saskylakh,100,RU,1594670805,77,71.92,114.08,58.33,5.03
151,poum,100,NC,1594670805,79,-20.23,164.02,72.5,17.16
152,vao,100,NC,1594670765,77,-22.67,167.48,72.16,12.71
153,billings,40,US,1594670790,23,45.78,-108.5,75.2,9.17
154,birao,50,CF,1594670806,91,10.28,22.79,73.0,11.23
155,hermanus,100,ZA,1594670806,81,-34.42,19.23,48.99,7.0
156,san francisco menendez,20,SV,1594670806,46,13.84,-90.02,89.6,2.24
157,mount gambier,1,AU,1594670806,100,-37.83,140.77,37.4,4.7
158,tastur,40,TN,1594670806,42,36.55,9.44,84.2,9.17
159,saint-ambroise,90,CA,1594670806,88,48.55,-71.33,68.0,9.17
160,asau,0,RO,1594670806,59,46.43,26.4,60.8,11.41
161,klaksvik,99,FO,1594670807,100,62.23,-6.59,51.8,8.05
162,khokhryaki,23,RU,1594670807,82,56.92,53.32,69.01,6.64
163,srednekolymsk,0,RU,1594670807,57,67.45,153.68,56.7,8.68
164,leningradskiy,100,RU,1594670807,87,69.38,178.42,37.24,8.34
165,chokurdakh,0,RU,1594670691,54,70.63,147.92,60.4,14.47
166,tonj,31,SS,1594670807,91,7.27,28.68,71.69,3.83
167,arman,96,RU,1594670807,70,59.7,150.17,60.21,0.94
168,kargopol,100,RU,1594670807,98,61.51,38.95,52.45,5.86
169,hualmay,17,PE,1594670807,70,-11.1,-77.61,66.94,10.76
170,dikson,100,RU,1594670794,98,73.51,80.55,39.47,13.13
171,praia da vitoria,20,PT,1594670808,60,38.73,-27.07,75.2,12.35
172,port elizabeth,0,ZA,1594670808,58,-33.92,25.57,57.2,16.11
173,faya,70,SA,1594670808,49,18.39,42.45,75.2,6.69
174,aksarka,58,RU,1594670808,75,66.56,67.8,49.05,14.43
175,barrow,90,US,1594670701,80,71.29,-156.79,37.4,12.75
176,la asuncion,74,VE,1594670809,44,11.03,-63.86,96.8,18.34
177,bulgan,100,MN,1594670809,83,48.81,103.53,57.69,2.15
178,ixtapa,40,MX,1594670809,70,20.7,-105.2,90.0,10.29
179,santa maria,0,BR,1594670809,68,-29.68,-53.81,54.61,5.93
180,ahipara,75,NZ,1594670809,89,-35.17,173.17,53.87,4.68
181,tavrichanka,75,RU,1594670809,100,43.34,131.86,62.6,0.38
182,christchurch,0,NZ,1594670519,100,-43.53,172.63,24.8,2.73
183,pirovskoye,100,RU,1594670809,83,57.63,92.27,57.92,1.01
184,castro,3,BR,1594670534,73,-24.79,-50.01,68.27,6.4
185,codrington,6,AU,1594670810,91,-38.27,141.97,41.7,3.67
186,qaqortoq,75,GL,1594670710,67,60.72,-46.03,59.0,6.93
187,gobabis,0,NA,1594670810,19,-22.45,18.97,48.2,1.12
188,kentau,0,KZ,1594670810,24,43.52,68.51,81.61,21.09
189,beringovskiy,100,RU,1594670810,90,63.05,179.32,49.37,3.29
190,miri,40,MY,1594670810,100,4.41,114.01,75.2,4.25
191,ocos,40,GT,1594670810,59,14.51,-92.19,91.4,5.7
192,el paujil,20,CO,1594670810,80,1.57,-75.33,80.96,4.61
193,mbaiki,99,CF,1594670810,98,3.87,17.99,69.69,2.82
194,vestmannaeyjar,100,IS,1594670800,86,63.44,-20.27,52.72,7.14
195,kumluca,67,TR,1594670811,51,36.37,30.29,84.96,2.26
196,kavieng,100,PG,1594670811,76,-2.57,150.8,81.79,9.57
197,paso del macho,20,MX,1594670811,62,18.97,-96.72,90.0,4.7
198,new norfolk,3,AU,1594670811,92,-42.78,147.06,41.0,2.06
